Started job on	Jan 09 17:28:15
Started mapping on	Jan 09 17:46:34
Finished on	Jan 09 18:18:21
Mapping speed, Million of reads per hour	55.56
Number of input reads	29429589
Average input read length	300
Uniquely mapped reads number	27037360
Uniquely mapped reads %	91.87%
Average mapped length	295.68
Number of splices: Total	24908774
Number of splices: Annotated (sjdb)	24871482
Number of splices: GT/AG	24616034
Number of splices: GC/AG	248681
Number of splices: AT/AC	11394
Number of splices: Non-canonical	32665
Mismatch rate per base, %	0.55%
Deletion rate per base	0.01%
Deletion average length	1.48
Insertion rate per base	0.01%
Insertion average length	1.77
Number of reads mapped to multiple loci	949735
% of reads mapped to multiple loci	3.23%
Number of reads mapped to too many loci	3099
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	54398
% of reads unmapped: too many mismatches	0.18%
Number of reads unmapped: too short	1377219
% of reads unmapped: too short	4.68%
Number of reads unmapped: other	7778
% of reads unmapped: other	0.03%
Number of chimeric reads	820995
% of chimeric reads	2.79%
