Started job on	Jan 14 17:48:57
Started mapping on	Jan 14 18:40:20
Finished on	Jan 14 20:43:08
Mapping speed, Million of reads per hour	24.85
Number of input reads	50851947
Average input read length	300
Uniquely mapped reads number	43867929
Uniquely mapped reads %	86.27%
Average mapped length	298.30
Number of splices: Total	41353513
Number of splices: Annotated (sjdb)	41290182
Number of splices: GT/AG	40988094
Number of splices: GC/AG	309784
Number of splices: AT/AC	15903
Number of splices: Non-canonical	39732
Mismatch rate per base, %	0.18%
Deletion rate per base	0.01%
Deletion average length	1.30
Insertion rate per base	0.01%
Insertion average length	1.64
Number of reads mapped to multiple loci	6092160
% of reads mapped to multiple loci	11.98%
Number of reads mapped to too many loci	6681
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	54636
% of reads unmapped: too many mismatches	0.11%
Number of reads unmapped: too short	818910
% of reads unmapped: too short	1.61%
Number of reads unmapped: other	11631
% of reads unmapped: other	0.02%
Number of chimeric reads	421494
% of chimeric reads	0.83%
