Started job on	Jan 07 01:25:53
Started mapping on	Jan 07 02:50:53
Finished on	Jan 07 06:39:12
Mapping speed, Million of reads per hour	10.61
Number of input reads	40385969
Average input read length	300
Uniquely mapped reads number	38076860
Uniquely mapped reads %	94.28%
Average mapped length	298.13
Number of splices: Total	41152508
Number of splices: Annotated (sjdb)	41109338
Number of splices: GT/AG	40797828
Number of splices: GC/AG	300401
Number of splices: AT/AC	17691
Number of splices: Non-canonical	36588
Mismatch rate per base, %	0.19%
Deletion rate per base	0.01%
Deletion average length	1.26
Insertion rate per base	0.01%
Insertion average length	1.58
Number of reads mapped to multiple loci	1598020
% of reads mapped to multiple loci	3.96%
Number of reads mapped to too many loci	3993
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	51002
% of reads unmapped: too many mismatches	0.13%
Number of reads unmapped: too short	648976
% of reads unmapped: too short	1.61%
Number of reads unmapped: other	7118
% of reads unmapped: other	0.02%
Number of chimeric reads	509870
% of chimeric reads	1.26%
