Started job on	Jan 08 19:37:57
Started mapping on	Jan 08 20:29:11
Finished on	Jan 08 22:40:30
Mapping speed, Million of reads per hour	25.90
Number of input reads	56693444
Average input read length	300
Uniquely mapped reads number	49895138
Uniquely mapped reads %	88.01%
Average mapped length	298.22
Number of splices: Total	42273100
Number of splices: Annotated (sjdb)	42214929
Number of splices: GT/AG	41875579
Number of splices: GC/AG	332418
Number of splices: AT/AC	18202
Number of splices: Non-canonical	46901
Mismatch rate per base, %	0.21%
Deletion rate per base	0.01%
Deletion average length	1.32
Insertion rate per base	0.01%
Insertion average length	1.62
Number of reads mapped to multiple loci	5757641
% of reads mapped to multiple loci	10.16%
Number of reads mapped to too many loci	8987
% of reads mapped to too many loci	0.02%
Number of reads unmapped: too many mismatches	78150
% of reads unmapped: too many mismatches	0.14%
Number of reads unmapped: too short	939985
% of reads unmapped: too short	1.66%
Number of reads unmapped: other	13543
% of reads unmapped: other	0.02%
Number of chimeric reads	567627
% of chimeric reads	1.00%
