Started job on	Jan 08 12:16:15
Started mapping on	Jan 08 13:09:18
Finished on	Jan 08 15:27:14
Mapping speed, Million of reads per hour	20.72
Number of input reads	47632350
Average input read length	300
Uniquely mapped reads number	40710541
Uniquely mapped reads %	85.47%
Average mapped length	298.45
Number of splices: Total	37461213
Number of splices: Annotated (sjdb)	37408998
Number of splices: GT/AG	37135091
Number of splices: GC/AG	267259
Number of splices: AT/AC	17579
Number of splices: Non-canonical	41284
Mismatch rate per base, %	0.19%
Deletion rate per base	0.01%
Deletion average length	1.44
Insertion rate per base	0.01%
Insertion average length	1.66
Number of reads mapped to multiple loci	6094800
% of reads mapped to multiple loci	12.80%
Number of reads mapped to too many loci	9669
% of reads mapped to too many loci	0.02%
Number of reads unmapped: too many mismatches	50904
% of reads unmapped: too many mismatches	0.11%
Number of reads unmapped: too short	752588
% of reads unmapped: too short	1.58%
Number of reads unmapped: other	13848
% of reads unmapped: other	0.03%
Number of chimeric reads	389656
% of chimeric reads	0.82%
