Started job on	Jan 14 23:06:49
Started mapping on	Jan 14 23:58:18
Finished on	Jan 15 01:59:39
Mapping speed, Million of reads per hour	23.83
Number of input reads	48194516
Average input read length	300
Uniquely mapped reads number	41563646
Uniquely mapped reads %	86.24%
Average mapped length	298.12
Number of splices: Total	39891776
Number of splices: Annotated (sjdb)	39844205
Number of splices: GT/AG	39541308
Number of splices: GC/AG	290867
Number of splices: AT/AC	16796
Number of splices: Non-canonical	42805
Mismatch rate per base, %	0.24%
Deletion rate per base	0.01%
Deletion average length	1.32
Insertion rate per base	0.01%
Insertion average length	1.61
Number of reads mapped to multiple loci	5448318
% of reads mapped to multiple loci	11.30%
Number of reads mapped to too many loci	7363
% of reads mapped to too many loci	0.02%
Number of reads unmapped: too many mismatches	93085
% of reads unmapped: too many mismatches	0.19%
Number of reads unmapped: too short	1068929
% of reads unmapped: too short	2.22%
Number of reads unmapped: other	13175
% of reads unmapped: other	0.03%
Number of chimeric reads	458833
% of chimeric reads	0.95%
