Started job on	Jan 09 05:19:19
Started mapping on	Jan 09 05:50:49
Finished on	Jan 09 06:51:50
Mapping speed, Million of reads per hour	46.17
Number of input reads	46949385
Average input read length	300
Uniquely mapped reads number	43849930
Uniquely mapped reads %	93.40%
Average mapped length	296.40
Number of splices: Total	40687082
Number of splices: Annotated (sjdb)	40624226
Number of splices: GT/AG	40240414
Number of splices: GC/AG	381037
Number of splices: AT/AC	18785
Number of splices: Non-canonical	46846
Mismatch rate per base, %	0.33%
Deletion rate per base	0.01%
Deletion average length	1.47
Insertion rate per base	0.01%
Insertion average length	1.75
Number of reads mapped to multiple loci	1345737
% of reads mapped to multiple loci	2.87%
Number of reads mapped to too many loci	4332
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	51698
% of reads unmapped: too many mismatches	0.11%
Number of reads unmapped: too short	1686347
% of reads unmapped: too short	3.59%
Number of reads unmapped: other	11341
% of reads unmapped: other	0.02%
Number of chimeric reads	1522891
% of chimeric reads	3.24%
