Started job on	Jan 17 09:05:44
Started mapping on	Jan 17 09:28:40
Finished on	Jan 17 10:10:42
Mapping speed, Million of reads per hour	51.24
Number of input reads	35895212
Average input read length	300
Uniquely mapped reads number	33568704
Uniquely mapped reads %	93.52%
Average mapped length	296.58
Number of splices: Total	29820676
Number of splices: Annotated (sjdb)	29775388
Number of splices: GT/AG	29470318
Number of splices: GC/AG	304189
Number of splices: AT/AC	13209
Number of splices: Non-canonical	32960
Mismatch rate per base, %	0.31%
Deletion rate per base	0.01%
Deletion average length	1.38
Insertion rate per base	0.01%
Insertion average length	1.72
Number of reads mapped to multiple loci	1114272
% of reads mapped to multiple loci	3.10%
Number of reads mapped to too many loci	2778
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	45371
% of reads unmapped: too many mismatches	0.13%
Number of reads unmapped: too short	1155530
% of reads unmapped: too short	3.22%
Number of reads unmapped: other	8557
% of reads unmapped: other	0.02%
Number of chimeric reads	1171847
% of chimeric reads	3.26%
