Started job on	Jan 09 18:49:12
Started mapping on	Jan 09 19:54:01
Finished on	Jan 09 22:31:45
Mapping speed, Million of reads per hour	15.54
Number of input reads	40859456
Average input read length	300
Uniquely mapped reads number	37822595
Uniquely mapped reads %	92.57%
Average mapped length	298.05
Number of splices: Total	40807013
Number of splices: Annotated (sjdb)	40760870
Number of splices: GT/AG	40452285
Number of splices: GC/AG	303104
Number of splices: AT/AC	17907
Number of splices: Non-canonical	33717
Mismatch rate per base, %	0.18%
Deletion rate per base	0.01%
Deletion average length	1.27
Insertion rate per base	0.01%
Insertion average length	1.57
Number of reads mapped to multiple loci	2329711
% of reads mapped to multiple loci	5.70%
Number of reads mapped to too many loci	4271
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	50627
% of reads unmapped: too many mismatches	0.12%
Number of reads unmapped: too short	644741
% of reads unmapped: too short	1.58%
Number of reads unmapped: other	7511
% of reads unmapped: other	0.02%
Number of chimeric reads	516414
% of chimeric reads	1.26%
