Started job on	Jan 15 03:54:55
Started mapping on	Jan 15 04:58:16
Finished on	Jan 15 07:39:10
Mapping speed, Million of reads per hour	23.86
Number of input reads	63980837
Average input read length	300
Uniquely mapped reads number	59785077
Uniquely mapped reads %	93.44%
Average mapped length	295.73
Number of splices: Total	54919518
Number of splices: Annotated (sjdb)	54833141
Number of splices: GT/AG	54393842
Number of splices: GC/AG	436995
Number of splices: AT/AC	24062
Number of splices: Non-canonical	64619
Mismatch rate per base, %	0.48%
Deletion rate per base	0.01%
Deletion average length	1.39
Insertion rate per base	0.01%
Insertion average length	1.76
Number of reads mapped to multiple loci	1497099
% of reads mapped to multiple loci	2.34%
Number of reads mapped to too many loci	5874
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	134387
% of reads unmapped: too many mismatches	0.21%
Number of reads unmapped: too short	2522144
% of reads unmapped: too short	3.94%
Number of reads unmapped: other	36256
% of reads unmapped: other	0.06%
Number of chimeric reads	1777562
% of chimeric reads	2.78%
