Started job on	Jan 16 23:40:56
Started mapping on	Jan 17 00:15:35
Finished on	Jan 17 01:29:23
Mapping speed, Million of reads per hour	33.61
Number of input reads	41341980
Average input read length	300
Uniquely mapped reads number	36955026
Uniquely mapped reads %	89.39%
Average mapped length	298.29
Number of splices: Total	34402494
Number of splices: Annotated (sjdb)	34356250
Number of splices: GT/AG	34068637
Number of splices: GC/AG	282158
Number of splices: AT/AC	14877
Number of splices: Non-canonical	36822
Mismatch rate per base, %	0.20%
Deletion rate per base	0.01%
Deletion average length	1.32
Insertion rate per base	0.01%
Insertion average length	1.67
Number of reads mapped to multiple loci	3706875
% of reads mapped to multiple loci	8.97%
Number of reads mapped to too many loci	6180
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	53124
% of reads unmapped: too many mismatches	0.13%
Number of reads unmapped: too short	610451
% of reads unmapped: too short	1.48%
Number of reads unmapped: other	10324
% of reads unmapped: other	0.02%
Number of chimeric reads	369360
% of chimeric reads	0.89%
