Started job on	Jan 11 21:28:37
Started mapping on	Jan 11 22:08:10
Finished on	Jan 11 23:24:44
Mapping speed, Million of reads per hour	36.96
Number of input reads	47166833
Average input read length	300
Uniquely mapped reads number	39553603
Uniquely mapped reads %	83.86%
Average mapped length	298.30
Number of splices: Total	34908200
Number of splices: Annotated (sjdb)	34856734
Number of splices: GT/AG	34565729
Number of splices: GC/AG	289346
Number of splices: AT/AC	15002
Number of splices: Non-canonical	38123
Mismatch rate per base, %	0.19%
Deletion rate per base	0.01%
Deletion average length	1.32
Insertion rate per base	0.01%
Insertion average length	1.57
Number of reads mapped to multiple loci	6698291
% of reads mapped to multiple loci	14.20%
Number of reads mapped to too many loci	6580
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	54507
% of reads unmapped: too many mismatches	0.12%
Number of reads unmapped: too short	842677
% of reads unmapped: too short	1.79%
Number of reads unmapped: other	11175
% of reads unmapped: other	0.02%
Number of chimeric reads	375511
% of chimeric reads	0.80%
