Started job on	Jan 15 23:12:35
Started mapping on	Jan 15 23:54:51
Finished on	Jan 16 01:12:33
Mapping speed, Million of reads per hour	29.79
Number of input reads	38573837
Average input read length	300
Uniquely mapped reads number	36119457
Uniquely mapped reads %	93.64%
Average mapped length	296.27
Number of splices: Total	32842721
Number of splices: Annotated (sjdb)	32791817
Number of splices: GT/AG	32512272
Number of splices: GC/AG	271246
Number of splices: AT/AC	14442
Number of splices: Non-canonical	44761
Mismatch rate per base, %	0.26%
Deletion rate per base	0.01%
Deletion average length	1.26
Insertion rate per base	0.01%
Insertion average length	1.80
Number of reads mapped to multiple loci	1194141
% of reads mapped to multiple loci	3.10%
Number of reads mapped to too many loci	3727
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	66416
% of reads unmapped: too many mismatches	0.17%
Number of reads unmapped: too short	1182564
% of reads unmapped: too short	3.07%
Number of reads unmapped: other	7532
% of reads unmapped: other	0.02%
Number of chimeric reads	1427643
% of chimeric reads	3.70%
